miss_rate,inflation_rate,policy,replicates,mean_cost,ci95_cost,mean_success,ci95_success,mean_wrong_route,ci95_wrong_route,mean_confirmed,ci95_confirmed,mean_support_size,ci95_support_size
0.2,0.0,tao_nominal,30,4.251333333333333,0.06483126628504647,0.7953333333333334,0.0058937514804587665,0.20466666666666672,0.005893751480458772,0.0,0.0,1.0,0.0
0.2,0.0,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2,0.1,conservative_tao,30,3.10540000000002,0.03398103555484058,0.9586,0.0030891850504400128,0.04140000000000001,0.0030891850504400136,1.0,0.0,2.0,0.0
0.2,0.1,entropy_commit,30,4.224933333333333,0.07080008163988627,0.7977333333333334,0.006436371058171472,0.2022666666666667,0.006436371058171479,0.0,0.0,1.0,0.0
0.2,0.1,support_inflated_tao,30,4.077136666666671,0.06623589168654741,0.8170666666666666,0.006022409319173077,0.18293333333333334,0.006022409319173086,0.09980000000000001,0.005012831498483058,1.0997999999999999,0.0050128314984830636
0.2,0.1,tao_nominal,30,4.243266666666667,0.07091318851273114,0.7960666666666666,0.0064466535011573735,0.20393333333333338,0.006446653501157378,0.0,0.0,1.0,0.0
0.2,0.1,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2,0.2,conservative_tao,30,3.0834000000000206,0.03704998929871009,0.9605999999999997,0.0033681808453372196,0.03940000000000001,0.003368180845337221,1.0,0.0,2.0,0.0
0.2,0.2,entropy_commit,30,4.208066666666666,0.07890179498698736,0.7992666666666666,0.007172890453362479,0.20073333333333337,0.007172890453362487,0.0,0.0,1.0,0.0
0.2,0.2,support_inflated_tao,30,3.91857333333334,0.08115118598569551,0.8377333333333332,0.007401333942108366,0.1622666666666667,0.007401333942108364,0.20560000000000003,0.005554539152387199,1.2056,0.005554539152387203
0.2,0.2,tao_nominal,30,4.1868,0.06672438956866032,0.8012,0.006065853597150933,0.19880000000000003,0.006065853597150937,0.0,0.0,1.0,0.0
0.2,0.2,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2,0.5,conservative_tao,30,3.1068666666666878,0.03638254206752309,0.9584666666666668,0.0033075038243201944,0.041533333333333346,0.0033075038243201953,1.0,0.0,2.0,0.0
0.2,0.5,entropy_commit,30,4.1816666666666675,0.06455873178356215,0.8016666666666665,0.005868975616687461,0.19833333333333336,0.005868975616687466,0.0,0.0,1.0,0.0
0.2,0.5,support_inflated_tao,30,3.6161033333333483,0.04242978929353362,0.8827333333333333,0.0037939915878375903,0.11726666666666667,0.0037939915878375872,0.5018000000000001,0.008539513006653522,1.5017999999999998,0.008539513006653524
0.2,0.5,tao_nominal,30,4.202933333333334,0.07131139602779454,0.7997333333333335,0.0064828541843449505,0.2002666666666667,0.0064828541843449565,0.0,0.0,1.0,0.0
0.2,0.5,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.0,conservative_tao,30,3.299733333333358,0.048164534973153976,0.9409333333333333,0.004378594088468441,0.0590666666666667,0.0043785940884684535,1.0,0.0,2.0,0.0
0.3,0.0,entropy_commit,30,5.393133333333335,0.08802278281326699,0.6915333333333334,0.008002071164842445,0.3084666666666666,0.008002071164842457,0.0,0.0,1.0,0.0
0.3,0.0,support_inflated_tao,30,5.3124666666666664,0.09661152855189746,0.6988666666666664,0.008782866231990672,0.3011333333333333,0.008782866231990679,0.0,0.0,1.0,0.0
0.3,0.0,tao_nominal,30,5.2435333333333345,0.08317926361245997,0.7051333333333332,0.007561751237496357,0.2948666666666666,0.007561751237496363,0.0,0.0,1.0,0.0
0.3,0.0,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.1,conservative_tao,30,3.294600000000025,0.03646859453686564,0.9414000000000001,0.0033153267760786163,0.05860000000000003,0.0033153267760786284,1.0,0.0,2.0,0.0
0.3,0.1,entropy_commit,30,5.327133333333332,0.09641223190834187,0.6975333333333334,0.008764748355303796,0.3024666666666666,0.008764748355303805,0.0,0.0,1.0,0.0
0.3,0.1,support_inflated_tao,30,5.0996133333333376,0.062011017844231006,0.724,0.00572244076211035,0.276,0.005722440762110347,0.09786666666666669,0.0041644025039085,1.0978666666666668,0.004164402503908498
0.3,0.1,tao_nominal,30,5.2978000000000005,0.07994762215005694,0.7002000000000003,0.007267965650005166,0.29980000000000007,0.007267965650005179,0.0,0.0,1.0,0.0
0.3,0.1,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.2,conservative_tao,30,3.322466666666691,0.039318629540006485,0.9388666666666666,0.0035744208672732394,0.06113333333333336,0.0035744208672732524,1.0,0.0,2.0,0.0
0.3,0.2,entropy_commit,30,5.3572,0.07447397628393575,0.6948000000000001,0.00677036148035779,0.30519999999999997,0.006770361480357799,0.0,0.0,1.0,0.0
0.3,0.2,support_inflated_tao,30,4.917303333333341,0.08182367699635619,0.7464000000000001,0.007481244619545023,0.25360000000000005,0.007481244619545017,0.1964666666666667,0.005998753811836184,1.1964666666666668,0.005998753811836189
0.3,0.2,tao_nominal,30,5.176066666666667,0.08119781893754636,0.7112666666666667,0.007381619903413302,0.28873333333333334,0.0073816199034133,0.0,0.0,1.0,0.0
0.3,0.2,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.5,conservative_tao,30,3.288733333333357,0.04770755209242491,0.9419333333333333,0.004337050190220344,0.05806666666666669,0.004337050190220355,1.0,0.0,2.0,0.0
0.3,0.5,entropy_commit,30,5.231066666666666,0.08238021195125744,0.7062666666666666,0.007489110177387038,0.2937333333333333,0.00748911017738704,0.0,0.0,1.0,0.0
0.3,0.5,support_inflated_tao,30,4.267900000000021,0.06540427025265853,0.8233333333333331,0.006102817840462687,0.1766666666666667,0.006102817840462693,0.49933333333333335,0.007194649693665387,1.4993333333333336,0.007194649693665389
0.3,0.5,tao_nominal,30,5.264799999999999,0.07800601880462252,0.7032,0.007091456254965679,0.29679999999999995,0.007091456254965687,0.0,0.0,1.0,0.0
0.3,0.5,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
